"Jahr","Woche","GW_VPR","GW_SR","GNS","SC2_VL_WW"
2020,40,32.85062477805398,NA,19.964139938354492,NA
2020,41,117.95894165039061,NA,32.895267486572266,NA
2020,42,0,NA,53.12173080444336,NA
2020,43,0,NA,94.7965316772461,NA
2020,44,515.0299819946289,NA,140.52627563476563,NA
2020,45,11.341425845497533,NA,158.7729034423828,NA
2020,46,262.92016594780813,NA,160.4807586669922,NA
2020,47,171.85703923152045,NA,161.07858276367188,NA
2020,48,460.3136364164806,NA,154.22781372070313,NA
2020,49,219.91939832899305,NA,161.63221740722656,NA
2020,50,514.250371616379,NA,198.1641082763672,NA
2020,51,291.36966516446415,NA,223.389892578125,NA
2020,52,208.81190745035806,NA,179.7283477783203,NA
2020,53,201.66818514737216,NA,161.2000732421875,NA
2021,1,292.766127565172,NA,190.2309112548828,NA
2021,2,139.36333167796232,NA,154.77731323242188,NA
2021,3,183.27211450647422,NA,123.81908416748047,NA
2021,4,147.37584920342687,NA,100.90036010742188,NA
2021,5,76.31787253485786,NA,82.45079040527344,NA
2021,6,102.50862150481254,NA,64.42784118652344,NA
2021,7,115.54264802643746,NA,66.0445785522461,NA
2021,8,172.49243259640767,NA,69.81098175048828,NA
2021,9,115.7886455007494,NA,70.38118743896484,NA
2021,10,121.34749971587082,NA,85.32667541503906,NA
2021,11,118.40143492415145,NA,109.83590698242188,NA
2021,12,92.58939924538984,NA,136.3622589111328,NA
2021,13,226.78603922526042,NA,131.7964630126953,NA
2021,14,215.3725671941584,NA,143.90057373046875,NA
2021,15,121.0788835542293,NA,168.76048278808594,NA
2021,16,139.79040642071487,NA,168.25103759765625,NA
2021,17,189.01772458929764,NA,145.69955444335938,NA
2021,18,75.81557076590401,NA,117.36732482910156,NA
2021,19,79.38391524094803,NA,81.55889129638672,NA
2021,20,0,NA,59.634239196777344,NA
2021,21,0,NA,33.69880676269531,NA
2021,22,0,NA,22.83312225341797,NA
2021,23,0,NA,15.153969764709473,NA
2021,24,0,NA,7.813075065612793,NA
2021,25,12.5649167574369,NA,5.2340288162231445,NA
2021,26,0,NA,5.042119026184082,NA
2021,27,0,NA,6.773448944091797,NA
2021,28,105.00893002464657,NA,11.031360626220703,NA
2021,29,0,NA,15.214717864990234,NA
2021,30,0,NA,18.305984497070313,NA
2021,31,157.67731984456378,NA,23.498592376708984,NA
2021,32,0,NA,36.43386459350586,NA
2021,33,105.92693365187873,NA,53.404762268066406,NA
2021,34,275.2027893066406,NA,70.216888427734375,NA
2021,35,0,NA,77.13945007324219,NA
2021,36,66.30184152964,NA,74.2801284790039,NA
2021,37,133.56443269149116,NA,62.673038482666016,NA
